Person_ID,Entry_Time,Exit_Time
1,15:13:53,15:14:46
2,15:13:53,15:14:33
3,15:13:53,15:15:19
4,15:13:53,
5,15:13:53,15:15:23
6,15:13:53,15:14:29
7,15:13:53,15:15:10
8,15:13:53,15:14:58
9,15:13:53,
10,15:13:53,15:14:23
11,15:13:53,15:14:44
12,15:13:53,
13,15:13:53,15:14:40
14,15:13:53,15:14:36
15,15:13:53,15:14:10
16,15:13:53,15:14:14
17,15:13:54,15:14:23
18,15:13:55,
19,15:14:01,
20,15:14:02,15:15:26
21,15:14:02,15:15:16
22,15:14:04,15:15:00
23,15:14:05,15:14:48
24,15:14:06,
25,15:14:16,
26,15:14:24,15:15:09
27,15:14:26,
28,15:14:31,
29,15:14:35,
30,15:14:45,
31,15:14:47,15:15:20
32,15:14:52,
33,15:14:53,
34,15:15:11,
35,15:15:11,15:15:27
36,15:15:18,
37,15:15:18,
38,15:15:18,
39,15:15:19,
40,15:15:20,
41,15:15:24,
42,15:15:26,
